,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2017-01-01,1.0,0.7086092715231788,0.695364238410596,0.5960264900662252,0.6357615894039735,0.5761589403973509,0.4966887417218543,0.5695364238410596,0.5033112582781457,0.5231788079470199,0.5033112582781457,0.4105960264900662,0.4503311258278146,0.4105960264900662,0.44370860927152317,0.4304635761589404,0.3576158940397351,0.36423841059602646,0.33112582781456956,0.3708609271523179,,,,
2017-02-01,1.0,0.6096491228070176,0.5350877192982456,0.5394736842105263,0.44298245614035087,0.4868421052631579,0.4868421052631579,0.42543859649122806,0.4166666666666667,0.4166666666666667,0.42105263157894735,0.3684210526315789,0.36403508771929827,0.35526315789473684,0.38596491228070173,0.3026315789473684,0.31140350877192985,0.2850877192982456,0.2543859649122807,,,,,
2017-03-01,1.0,0.5780346820809249,0.5433526011560693,0.4913294797687861,0.45664739884393063,0.4797687861271676,0.44508670520231214,0.4046242774566474,0.4797687861271676,0.36416184971098264,0.3930635838150289,0.3236994219653179,0.3352601156069364,0.30057803468208094,0.28901734104046245,0.2947976878612717,0.2543352601156069,0.27167630057803466,,,,,,
2017-04-01,1.0,0.5431034482758621,0.47413793103448276,0.5,0.49137931034482757,0.4482758620689655,0.3793103448275862,0.47413793103448276,0.3793103448275862,0.3793103448275862,0.31896551724137934,0.33620689655172414,0.3103448275862069,0.29310344827586204,0.25,0.27586206896551724,0.22413793103448276,,,,,,,
2017-05-01,1.0,0.5,0.5,0.5161290322580645,0.46774193548387094,0.4274193548387097,0.43548387096774194,0.3709677419354839,0.3951612903225806,0.4032258064516129,0.3548387096774194,0.31451612903225806,0.27419354838709675,0.23387096774193547,0.27419354838709675,0.20161290322580644,,,,,,,,
2017-06-01,1.0,0.42105263157894735,0.40789473684210525,0.47368421052631576,0.3157894736842105,0.3815789473684211,0.3684210526315789,0.32894736842105265,0.27631578947368424,0.2894736842105263,0.27631578947368424,0.2631578947368421,0.21052631578947367,0.2236842105263158,0.21052631578947367,,,,,,,,,
2017-07-01,1.0,0.6782608695652174,0.6173913043478261,0.6086956521739131,0.6782608695652174,0.6086956521739131,0.5652173913043478,0.5304347826086957,0.5217391304347826,0.5217391304347826,0.5043478260869565,0.4956521739130435,0.4434782608695652,0.48695652173913045,,,,,,,,,,
2017-08-01,1.0,0.5426356589147286,0.46511627906976744,0.5503875968992248,0.4263565891472868,0.4418604651162791,0.49612403100775193,0.4263565891472868,0.40310077519379844,0.3798449612403101,0.37209302325581395,0.3178294573643411,0.3488372093023256,,,,,,,,,,,
2017-09-01,1.0,0.5275590551181102,0.5433070866141733,0.4645669291338583,0.49606299212598426,0.4015748031496063,0.44881889763779526,0.4094488188976378,0.4094488188976378,0.33858267716535434,0.31496062992125984,0.33858267716535434,,,,,,,,,,,,
2017-10-01,1.0,0.6598639455782312,0.5510204081632653,0.564625850340136,0.47619047619047616,0.48299319727891155,0.48299319727891155,0.4557823129251701,0.3741496598639456,0.41496598639455784,0.3401360544217687,,,,,,,,,,,,,
2017-11-01,1.0,0.5210526315789473,0.5526315789473685,0.4368421052631579,0.4631578947368421,0.4263157894736842,0.3736842105263158,0.3736842105263158,0.4105263157894737,0.3368421052631579,,,,,,,,,,,,,,
2017-12-01,1.0,0.5777777777777777,0.5222222222222223,0.5333333333333333,0.45555555555555555,0.43333333333333335,0.36666666666666664,0.35555555555555557,0.34444444444444444,,,,,,,,,,,,,,,
2018-01-01,1.0,0.574468085106383,0.5035460992907801,0.5673758865248227,0.45390070921985815,0.46808510638297873,0.40425531914893614,0.3617021276595745,,,,,,,,,,,,,,,,
2018-02-01,1.0,0.525,0.525,0.4583333333333333,0.43333333333333335,0.5,0.4,,,,,,,,,,,,,,,,,
2018-03-01,1.0,0.6017699115044248,0.5309734513274337,0.5221238938053098,0.4424778761061947,0.4247787610619469,,,,,,,,,,,,,,,,,,
2018-04-01,1.0,0.599009900990099,0.5198019801980198,0.5297029702970297,0.4801980198019802,,,,,,,,,,,,,,,,,,,
2018-05-01,1.0,0.563953488372093,0.5697674418604651,0.5523255813953488,,,,,,,,,,,,,,,,,,,,
2018-06-01,1.0,0.5602094240837696,0.5968586387434555,,,,,,,,,,,,,,,,,,,,,
2018-07-01,1.0,0.5631578947368421,,,,,,,,,,,,,,,,,,,,,,
2018-08-01,1.0,,,,,,,,,,,,,,,,,,,,,,,
